event_date,source,medium,campaign,user_sessions_count,visit_to_cart,visit_to_checkout,visit_to_purchase,visit_to_cart_rate,visit_to_checkout_rate,visit_to_purchase_rate
2021-01-01,(data deleted),(data deleted),(data deleted),85,5,2,2,0.058823529411764705,0.023529411764705882,0.023529411764705882
2021-01-01,(data deleted),(data deleted),<Other>,3,0,0,0,0.0,0.0,0.0
2021-01-01,(direct),(none),(direct),564,23,8,5,0.040780141843971635,0.014184397163120567,0.0088652482269503553
2021-01-01,<Other>,(data deleted),(data deleted),2,0,0,0,0.0,0.0,0.0
2021-01-01,<Other>,<Other>,<Other>,377,7,6,0,0.018567639257294429,0.015915119363395226,0.0
2021-01-01,<Other>,organic,(organic),64,1,0,0,0.015625,0.0,0.0
2021-01-01,<Other>,referral,(referral),211,6,1,1,0.02843601895734597,0.0047393364928909956,0.0047393364928909956
2021-01-01,google,cpc,<Other>,103,2,1,1,0.019417475728155338,0.0097087378640776691,0.0097087378640776691
2021-01-01,google,organic,(organic),746,20,8,3,0.026809651474530832,0.010723860589812333,0.0040214477211796247
2021-01-01,shop.googlemerchandisestore.com,referral,(referral),134,3,0,0,0.022388059701492536,0.0,0.0
2021-01-02,(data deleted),(data deleted),(data deleted),96,4,5,1,0.041666666666666664,0.052083333333333336,0.010416666666666666
2021-01-02,(data deleted),(data deleted),<Other>,3,0,0,0,0.0,0.0,0.0
2021-01-02,(direct),(none),(direct),633,14,5,2,0.022116903633491312,0.0078988941548183249,0.00315955766192733
2021-01-02,<Other>,<Other>,<Other>,428,17,6,2,0.0397196261682243,0.014018691588785047,0.0046728971962616819
2021-01-02,<Other>,organic,(organic),72,0,0,0,0.0,0.0,0.0
2021-01-02,<Other>,referral,(referral),281,6,3,2,0.021352313167259787,0.010676156583629894,0.0071174377224199285
2021-01-02,google,cpc,<Other>,147,1,0,0,0.0068027210884353739,0.0,0.0
2021-01-02,google,organic,(organic),896,19,12,6,0.021205357142857144,0.013392857142857142,0.0066964285714285711
2021-01-02,shop.googlemerchandisestore.com,referral,(referral),149,3,1,1,0.020134228187919462,0.0067114093959731542,0.0067114093959731542
2021-01-03,(data deleted),(data deleted),(data deleted),92,7,4,3,0.076086956521739135,0.043478260869565216,0.032608695652173912
2021-01-03,(data deleted),(data deleted),<Other>,4,0,0,0,0.0,0.0,0.0
2021-01-03,(direct),(none),(direct),634,11,5,2,0.017350157728706624,0.0078864353312302835,0.0031545741324921135
2021-01-03,<Other>,(data deleted),(data deleted),2,0,0,0,0.0,0.0,0.0
2021-01-03,<Other>,<Other>,<Other>,476,13,8,4,0.0273109243697479,0.01680672268907563,0.0084033613445378148
2021-01-03,<Other>,organic,(organic),91,1,0,0,0.01098901098901099,0.0,0.0
2021-01-03,<Other>,referral,(referral),280,3,1,1,0.010714285714285714,0.0035714285714285713,0.0035714285714285713
2021-01-03,google,cpc,<Other>,109,1,2,1,0.0091743119266055051,0.01834862385321101,0.0091743119266055051
2021-01-03,google,organic,(organic),891,15,7,1,0.016835016835016835,0.0078563411896745237,0.0011223344556677891
2021-01-03,shop.googlemerchandisestore.com,referral,(referral),174,6,4,2,0.034482758620689655,0.022988505747126436,0.011494252873563218
2021-01-04,(data deleted),(data deleted),(data deleted),143,8,4,3,0.055944055944055944,0.027972027972027972,0.02097902097902098
2021-01-04,(data deleted),(data deleted),<Other>,3,0,0,0,0.0,0.0,0.0
2021-01-04,(direct),(none),(direct),784,15,7,4,0.01913265306122449,0.0089285714285714281,0.00510204081632653
2021-01-04,<Other>,(data deleted),(data deleted),3,0,0,0,0.0,0.0,0.0
2021-01-04,<Other>,<Other>,<Other>,510,11,4,1,0.021568627450980392,0.00784313725490196,0.00196078431372549
2021-01-04,<Other>,organic,(organic),94,2,1,0,0.021276595744680851,0.010638297872340425,0.0
2021-01-04,<Other>,referral,(referral),323,15,3,1,0.046439628482972138,0.0092879256965944269,0.0030959752321981426
2021-01-04,google,cpc,<Other>,162,2,0,0,0.012345679012345678,0.0,0.0
2021-01-04,google,organic,(organic),1066,39,10,5,0.036585365853658534,0.0093808630393996256,0.0046904315196998128
2021-01-04,shop.googlemerchandisestore.com,referral,(referral),229,6,0,0,0.026200873362445413,0.0,0.0
2021-01-05,(data deleted),(data deleted),(data deleted),176,9,5,5,0.05113636363636364,0.028409090909090908,0.028409090909090908
2021-01-05,(direct),(none),(direct),1021,28,7,4,0.02742409402546523,0.0068560235063663075,0.0039177277179236044
2021-01-05,<Other>,(data deleted),(data deleted),2,0,0,0,0.0,0.0,0.0
2021-01-05,<Other>,<Other>,<Other>,664,19,3,1,0.0286144578313253,0.0045180722891566263,0.0015060240963855422
2021-01-05,<Other>,organic,(organic),130,4,0,0,0.030769230769230771,0.0,0.0
2021-01-05,<Other>,referral,(referral),438,17,9,1,0.038812785388127852,0.020547945205479451,0.00228310502283105
2021-01-05,google,cpc,<Other>,197,9,2,1,0.045685279187817257,0.01015228426395939,0.005076142131979695
2021-01-05,google,organic,(organic),1476,45,20,13,0.03048780487804878,0.013550135501355014,0.0088075880758807581
2021-01-05,shop.googlemerchandisestore.com,referral,(referral),306,19,7,3,0.062091503267973858,0.022875816993464051,0.00980392156862745
2021-01-06,(data deleted),(data deleted),(data deleted),263,15,8,2,0.057034220532319393,0.030418250950570342,0.0076045627376425855
2021-01-06,(data deleted),(data deleted),<Other>,8,1,1,1,0.125,0.125,0.125
2021-01-06,(direct),(none),(direct),1408,36,14,8,0.02556818181818182,0.009943181818181818,0.005681818181818182
2021-01-06,<Other>,(data deleted),(data deleted),4,0,0,0,0.0,0.0,0.0
2021-01-06,<Other>,<Other>,<Other>,902,25,7,3,0.02771618625277162,0.0077605321507760536,0.0033259423503325942
2021-01-06,<Other>,organic,(organic),187,5,2,1,0.026737967914438502,0.0106951871657754,0.0053475935828877
2021-01-06,<Other>,referral,(referral),567,19,9,6,0.033509700176366841,0.015873015873015872,0.010582010582010581
2021-01-06,google,cpc,<Other>,261,10,2,1,0.038314176245210725,0.0076628352490421452,0.0038314176245210726
2021-01-06,google,organic,(organic),1930,53,17,4,0.027461139896373058,0.0088082901554404139,0.0020725388601036268
2021-01-06,shop.googlemerchandisestore.com,referral,(referral),421,12,4,1,0.028503562945368172,0.0095011876484560574,0.0023752969121140144
2021-01-07,(data deleted),(data deleted),(data deleted),239,14,10,5,0.058577405857740586,0.041841004184100417,0.020920502092050208
2021-01-07,(data deleted),(data deleted),<Other>,4,1,0,0,0.25,0.0,0.0
2021-01-07,(direct),(none),(direct),1061,43,13,7,0.040527803958529687,0.012252591894439209,0.0065975494816211122
2021-01-07,<Other>,(data deleted),(data deleted),1,0,0,0,0.0,0.0,0.0
2021-01-07,<Other>,<Other>,<Other>,680,24,5,1,0.035294117647058823,0.0073529411764705881,0.0014705882352941176
2021-01-07,<Other>,organic,(organic),136,3,1,1,0.022058823529411766,0.0073529411764705881,0.0073529411764705881
2021-01-07,<Other>,referral,(referral),406,10,3,1,0.024630541871921183,0.0073891625615763543,0.0024630541871921183
2021-01-07,google,cpc,<Other>,206,5,1,0,0.024271844660194174,0.0048543689320388345,0.0
2021-01-07,google,organic,(organic),1539,51,21,10,0.033138401559454189,0.01364522417153996,0.00649772579597141
2021-01-07,shop.googlemerchandisestore.com,referral,(referral),335,21,6,0,0.0626865671641791,0.017910447761194031,0.0
2021-01-08,(data deleted),(data deleted),(data deleted),213,18,7,2,0.084507042253521125,0.032863849765258218,0.0093896713615023476
2021-01-08,(data deleted),(data deleted),<Other>,8,0,0,0,0.0,0.0,0.0
2021-01-08,(direct),(none),(direct),1006,38,19,13,0.037773359840954271,0.018886679920477135,0.012922465208747515
2021-01-08,<Other>,(data deleted),(data deleted),3,0,0,0,0.0,0.0,0.0
2021-01-08,<Other>,<Other>,<Other>,619,16,7,5,0.025848142164781908,0.011308562197092083,0.0080775444264943458
2021-01-08,<Other>,organic,(organic),136,6,3,2,0.044117647058823532,0.022058823529411766,0.014705882352941176
2021-01-08,<Other>,referral,(referral),401,14,7,3,0.034912718204488775,0.017456359102244388,0.007481296758104738
2021-01-08,google,cpc,<Other>,183,8,3,3,0.043715846994535519,0.016393442622950821,0.016393442622950821
2021-01-08,google,organic,(organic),1337,38,9,3,0.028421839940164548,0.0067314884068810773,0.002243829468960359
2021-01-08,shop.googlemerchandisestore.com,referral,(referral),311,18,7,2,0.057877813504823149,0.022508038585209004,0.0064308681672025723
2021-01-09,(data deleted),(data deleted),(data deleted),147,11,3,3,0.074829931972789115,0.020408163265306121,0.020408163265306121
2021-01-09,(data deleted),(data deleted),<Other>,1,0,0,0,0.0,0.0,0.0
2021-01-09,(direct),(none),(direct),757,28,8,2,0.036988110964332896,0.010568031704095112,0.0026420079260237781
2021-01-09,<Other>,<Other>,<Other>,485,17,5,1,0.035051546391752578,0.010309278350515464,0.0020618556701030928
2021-01-09,<Other>,organic,(organic),103,2,1,1,0.019417475728155338,0.0097087378640776691,0.0097087378640776691
2021-01-09,<Other>,referral,(referral),304,8,8,5,0.026315789473684209,0.026315789473684209,0.016447368421052631
2021-01-09,google,cpc,<Other>,134,4,2,1,0.029850746268656716,0.014925373134328358,0.007462686567164179
2021-01-09,google,organic,(organic),1067,28,7,3,0.026241799437675725,0.0065604498594189313,0.0028116213683223993
2021-01-09,shop.googlemerchandisestore.com,referral,(referral),241,10,4,2,0.041493775933609957,0.016597510373443983,0.0082987551867219917
2021-01-10,(data deleted),(data deleted),(data deleted),120,3,1,0,0.025,0.0083333333333333332,0.0
2021-01-10,(data deleted),(data deleted),<Other>,3,1,1,1,0.33333333333333331,0.33333333333333331,0.33333333333333331
2021-01-10,(direct),(none),(direct),702,16,7,5,0.022792022792022793,0.0099715099715099714,0.0071225071225071226
2021-01-10,<Other>,(data deleted),(data deleted),4,1,0,0,0.25,0.0,0.0
2021-01-10,<Other>,<Other>,<Other>,479,15,7,3,0.031315240083507306,0.014613778705636743,0.0062630480167014616
2021-01-10,<Other>,organic,(organic),100,3,2,0,0.03,0.02,0.0
2021-01-10,<Other>,referral,(referral),245,12,2,0,0.048979591836734691,0.00816326530612245,0.0
2021-01-10,google,cpc,<Other>,153,2,0,0,0.013071895424836602,0.0,0.0
2021-01-10,google,organic,(organic),968,23,7,3,0.023760330578512397,0.0072314049586776862,0.0030991735537190084
2021-01-10,shop.googlemerchandisestore.com,referral,(referral),200,7,6,3,0.035,0.03,0.015
2021-01-11,(data deleted),(data deleted),(data deleted),208,9,4,1,0.043269230769230768,0.019230769230769232,0.004807692307692308
2021-01-11,(data deleted),(data deleted),<Other>,3,2,1,1,0.66666666666666663,0.33333333333333331,0.33333333333333331
2021-01-11,(direct),(none),(direct),896,32,12,8,0.035714285714285712,0.013392857142857142,0.0089285714285714281
2021-01-11,<Other>,<Other>,<Other>,624,26,11,3,0.041666666666666664,0.017628205128205128,0.004807692307692308
2021-01-11,<Other>,organic,(organic),116,4,2,1,0.034482758620689655,0.017241379310344827,0.0086206896551724137
2021-01-11,<Other>,referral,(referral),367,18,4,3,0.049046321525885561,0.010899182561307902,0.0081743869209809257
